Treatment,ID,ww,dw,,,
Wet,3270,17.86,3.31,,,
Wet,2229,,,,,
Wet,3153,11.44,2.16,,,
Wet,3198,10.22,2.22,,,
Wet,3342,,,,,
Wet,3138,10.22,1.79,,,
Wet,2340,5.92,0.73,,,
Wet,2442,14.08,2.12,,,
Wet,2847,,,,,
Wet,3228,11.57,2.03,,,
Wet,2067,,,,,
Wet,2238,,,,,
Wet,3165,,,,,
Wet,2784,,,,,
Wet,2586,13.54,2.37,,,
Wet,2892,8.25,1.46,,,
Wet,2262,26.93,6.17,,,
Wet,2220,7.55,1.17,,,
Wet,3078,3.59,0.42,,,
Wet,3156,,,,,
Wet,2715,6.01,0.99,,,
Wet,2655,,,,,
Wet,2445,33.66,6.77,,,
Wet,2646,,,,,
Wet,2430,22.77,4.05,,,
Wet,3216,,,,,
Wet,2334,,,,,
Wet,2154,,,,,
Wet,2394,,,,,
Wet,2433,36.6,6.68,,,
Wet,2142,3.51,0.38,,,
Wet,2196,,,,,
Wet,2835,5.58,0.78,,,
Wet,3126,7.76,1.25,,,
Wet,3000,6.54,1.16,,,
Wet,2397,19.8,3.28,,,
Wet,2268,25.81,4.88,,,
Wet,2652,,,,,
Wet,3174,8.76,1.46,,,
Wet,2532,16.04,2.99,,,
Wet,2742,9.92,1.58,,,
Wet,3252,24.74,4.43,,,
Wet,2574,14.97,2.41,,,
Wet,3282,14.94,3.01,,,
Wet,2631,5.62,1.06,,,
Wet,2325,2.4,0.26,,,
Wet,2232,,,,,
Wet,2931,3.6,0.58,,,
Wet,2310,18.25,2.89,,,
Wet,3042,8.79,1.2,,,
Wet,2622,6.5,1.07,,,
Wet,3387,19.97,3.19,,,
Wet,2952,7.55,1.37,,,
Wet,2604,15.41,2.74,,,
Wet,2361,9.51,1.36,,,
Wet,2736,2.11,0.14,,,
Wet,2547,16.72,2.96,,,
Wet,2502,30.57,5.59,,,
Wet,2454,18.09,2.89,,,
Wet,2625,4.28,0.73,,,
Wet,2214,,,,,
Wet,2634,,,,,
Wet,2145,5.64,0.81,,,
Wet,2757,11.28,2.16,,,
Wet,2607,16.86,2.71,,,
Wet,2190,,,,,
Wet,2109,4.78,0.65,,,
Wet,2250,,,,,
Wet,2841,,,,,
Wet,3045,6.08,0.94,,,
Wet,2199,,,,,
Wet,2724,2.24,0.52,,,
Wet,2991,11.37,1.8,,,
Wet,2484,,,,,
Wet,3288,11.13,1.57,,,
Wet,3417,13.25,1.98,,,
Wet,3120,9.18,1.39,,,
Wet,3021,4.54,0.58,,,
Wet,2367,14.42,2.62,,,
Wet,2193,,,,,
Wet,2265,,,,,
Wet,2976,,,,,
Wet,2259,32.99,6.11,,,
Wet,3273,11.6,1.73,,,
Wet,2463,15.02,4.61,,,
Wet,2643,5.02,0.77,,,
Wet,2481,,,,,
Wet,2880,4.04,0.68,,,
Wet,2091,18.91,3.48,,,
Wet,2073,,,,,
Wet,2637,,,,,
Wet,2628,4.5,0.59,,,
Wet,2802,6.86,1.07,,,
Wet,2064,47.28,8.5,,,
Wet,2694,,,,,
Wet,2184,,,,,
Wet,2709,10.51,3.66,,,
Wet,2169,,,,,
Wet,2097,20.55,3.63,,,
Wet,3018,,,,,
Wet,2640,,,,,
Wet,2286,22.17,3.64,,,
Wet,2103,22.2,4.25,,,
Wet,3246,11.3,2.12,,,
Wet,3300,,,,,
Wet,3330,8.36,1.47,,,
Wet,3249,,,,,
Wet,2349,,,,,
Wet,2535,18.05,3.33,,,
Wet,3162,,,,,
Wet,2001,13.07,2.08,,,
Wet,3111,6.78,1.37,,,
Wet,2106,33.64,6.81,,,
Wet,2553,17.88,3.33,,,
Wet,3336,,,,,
Wet,2712,,,,,
